Name	Set	ImageFile	Type	Subtype/Race	Cost	T.Cost	ATK	DEF	Attribute	Rarity	Cardtext
Cu Chulainn, the Hero in a Far Land	2	EN2-113	Resonator	Hero	[b][b][3]	5	800	800	Darkness	SR	"[Continuous] This card gains [+400/+400] and [Pierce] if ""Gae Bolg, the Magic Spear"" is added on this card. <br />[Enter] Search for a ""Gae Bolg, the Magic Spear"" from your main deck, reveal it and put it on this card. Then shuffle your main deck."
Marching Band of the End	2	EN2-114	Resonator	Angel	[b][b][b]	3	200	200	Darkness	U	[Continuous] Whenever you pay life, you gain 500 life. You don't gain life if the life is lost by any damage.
Familiar of Hades	2	EN2-115	Resonator	Demon	[b][2]	3	600	400	Darkness	U	[Break] Put this card into your field. <br />[Continuous] When this card attacks, put the top card in your main deck to your graveyard.
Lantern, the Spirit of Grave Keeper	2	EN2-119	Resonator	Nightmare	[b]	1	500	500	Darkness	C	[Continuous] When a card is put into your graveyard, destroy this card.
Ghost Swordsman	2	EN2-120	Resonator	Ghost	[b][1]	2	200	200	Darkness	C	[Break] Put this card into your field. <br />[Activate] Pay {B}{1}: When this card gets destroyed by battle damage, put it into your field rested.
Dark Sorcerer	2	EN2-121	Resonator	Black Ones	[b][b]	2	0	500	Darkness	C	[Break] Target resonator's ATK becomes 0 until end of turn. <br />[Activate] Remove two cards in your graveyard from the game: Target resonator's ATK becomes 0 until end of turn.
Orpheus, the Nether Player	2	EN2-123	Resonator	Deity	[b][3]	4	600	200	Darkness	R	[Activate] Remove a resonator in your graveyard from the game: Put this card from graveyard into your field rested. This ability can be activated only once in each of your turns.
Bloodthirst Baron	2	EN2-127	Resonator	Vampire	[b][2]	3	800	800	Darkness	C	[Break] Choose a card in your opponent's hand at random and discard it. <br />[Continuous] When this card attacks, destroy target resonator in your field.
Dullahan, the Death Knight	2	EN2-129	Resonator	Undead	[b][b][2]	4	600	600	Darkness	C	[Continuous] When this card is put into a graveyard from your field, destroy the resonator targeted by the [Enter] ability. <br />[Enter] Choose target resonator.
Wight, Fallen King	2	EN2-133	Resonator	Skeleton	[b][b][2]	4	700	500	Darkness	U	[Continuous] During battle phase, this card cannot be dealt any damage other than battle damage, and cannot be destroyed by spells and abilities.
Skeleton Horseman	2	EN2-134	Resonator	Skeleton	[b][1]	2	400	400	Darkness	C	[Break] Put this card into your field. <br />[Continuous] At the end of your turn, put the top card in your main deck into your graveyard.
Dragon Zombie, the Necrodragon	2	EN2-135	Resonator	Dragon	[b][3]	4	1200	1000	Darkness	U	[Break] Put this card into your field. <br />[Continuous] When this card battles, destroy it at the end of the turn.
Soul Cord	2	EN2-139	Addition: Field		[b][1]	2			Darkness	C	[Continuous] Whenever a resonator is put into a graveyard from a field, this card deals 200 damage to the controller of the resonator.
Gae Bolg, the Magic Spear	2	EN2-140	Addition: Resonator		[b][b][2]	4			Darkness	R	[Continuous] Resonator with this cannot attack players. <br />[Continuous] At the end of the battle phase when the resonator with this attacked, recover it. <br />[Continuous] At the end of battle phase, destroy target resonator that the resonator with this battled.
Power of Hatred	2	EN2-142	Addition: Resonator		[b]	1			Darkness	C	[Continuous] Resonator with this gains [+400/-200].
End of Despair	2	EN2-144	Spell	Chant	[b][b][1]	3			Darkness	C	[Break] Destroy target card in a magic stone area. <br />Destroy target card in a magic stone area.
Binding Chain	2	EN2-146	Spell	Chant	[b][2]	3			Darkness	C	Rest target resonator. It gains [-400/-400] until end of turn.
Miasma of the Glyph	2	EN2-147	Spell	Chant	[b][2]	3			Darkness	C	[Break] Target resonator gains [-400/-400] until end of turn. <br />Target two resonators gains [-300-300] until end of turn.
Soul Sympathy	2	EN2-149	Spell	Chant	[b]	2			Darkness	C	[Break] You may destroy a resonator in your field. If you do, you may destroy a resonator in your opponent's field. <br />Each player destroys target resonator in his or her field. You choose the target first.
Culling the Weak	2	EN2-150	Spell	Chant - Instant	[b][b]	2			Darkness	C	[Break] Each player puts the top five cards of his or her main deck into his or her graveyard. <br />Search your main deck for up to three resonator and reveal them. Your opponent chooses a card from them and puts it into your graveyard. Return the rest to your main deck and shuffle it.
Grasp of Life	2	EN2-151	Spell	Chant - Standby	[b][b]	2			Darkness	C	[Trigger] During an end phase: Destroy target resonator that attacked this turn.
Corpse Guard	2	EN2-152	Spell	Chant - Standby	[b][b]	2			Darkness	U	[Trigger] Your opponent's battle phase: Put a resonator in your graveyard into your field. At the end of the battle phase, banish it.
Laplace, the Tuner	2	EN2-154	Ruler	Clown					Void	U	[Activate] Pay {W}{R}{B}: Your resonators gain [Flying], [Pierce] and [First Strike] until end of turn. <br />[Activate] {U}{G}: Your resonators gain [Target Attack] and [Explode] until end of turn.
White Wizard		EN2-001,EN2-001-j	Ruler				0//200	0//800	Light	R	[J-Activate] Pay {W}{W}{W}. <br /> [Continuous] The free cost for light attribute [Spell:Chant] and [Spell:Chant-Instant] cards are reduced by {1}.//[Activate] {Rest}: Produce {W}{W}{W}. <br />[Continuous] The free cost for [Spell:Chant] and [Spell:Chant-Instant] cards you play are reduced by {2}. <br />[Enter] You may put any number of [Spell:Chant-Standby] cards from your hand into your chant-standby area.
Ishtar, the Great Goddess of Kindness	2	EN2-002	Resonator	Deity	[w][w][3]	5	800	800	Light	SR	[Activate] Pay {W}{W}: The ATK of up to two target resonators becomes 0 until end of turn.
Ywain, the Knight of Leo	2	EN2-003	Resonator	Knight of the Round Table	[w][w][1]	3	400	700	Light	R	"[Activate] Pay {W}{W}: Search for a ""Sleeping Lion"" from your main deck and put it into your field. Then shuffle your main deck. <br />[Activate] Pay {W}{W}{3}: Search for a [Race:Lion] resonator with total cost 6 or less from your main deck and put it into your field. Then shuffle your main deck."
Angel of Wisdom	2	EN2-004	Resonator	Angel	[w][w][4]	6	800	800	Light	U	[Flying] <br />[Enter] Draw two cards from your main deck. Then discard a card from your hand. <br />[Activate] Pay {W}: This card gains [+100/+0] until the end of turn.
Kingdom Protection Circle	2	EN2-005	Resonator	Wizard	[w][2]	3	200	500	Light	C	[Continuous] This card gains [+0/+200] for each other light attribute resonator in your field. <br />[Continuous] This card cannot attack.
Trainer of Kings	2	EN2-006	Resonator	Wizard	[w][1]	2	200	200	Light	C	[Break] Produce {W} for each light resonator in all fields. <br />[Activate] {Rest}: If you have another light attribute resonators in your field, produce {W}{W}. 
Monk of Kindness	2	EN2-007	Resonator	Monk	[w][1]	2	100	300	Light	C	[Break] Target resonator cannot be dealt any battle damage until end of turn. <br />[Activate] Pay {W},{Rest}: Target resonator cannot be dealt any battle damage until end of turn.
Monk of Blessing	2	EN2-008	Resonator	Monk	[w][2]	3	100	600	Light	C	[Activate] {Rest}: Rest another target recovere resonator in your field. You gain 500 life.
Knight of Honor	2	EN2-009	Resonator	Knight of the Round Table	[w][w][1]	3	700	700	Light	C	[Break] Put this card into your field.
Heavy Horseman	2	EN2-010	Resonator	Knight	[w][2]	3	400	400	Light	C	[Enter] Put an [Addition:Resonator] from your hand onto this card.
One Who Reaches to the Sky	2	EN2-011	Resonator	Knight	[w][w][5]	7	1500	900	Light	U	[Continuous] When you attack with this card, it deals 500 damage to target resonator.
Pouncing Lion	2	EN2-012	Resonator	Lion	[w][2]	3	600	100	Light	R	[Break] Put this card into your field. <br />[Target Attack] <br />[First Strike]
Fair and Square	2	EN2-013	Addition: Field		[w][1]	2			Light	C	[Continuous] Each player places each [Spell:Chant-Standby] in his or her chant-standby area face up.
Surging Battle Cry	2	EN2-014	Addition: Field		[w][2]	3			Light	R	[Continuous] Each [Race:Deity] resonator gains [+200/+200]. <br />[Continuous] Each [Race:Spirit] resonator gains [+300/+300].
Spear from God	2	EN2-015	Addition: Resonator		[w][w][1]	3			Light	U	[Continuous] Resonator with this gains [+300/+300] and [Target Attack].
Queen's Prayer	2	EN2-016	Spell	Chant	[w][1]	2			Light	C	Break] You gain 300 life for each resonator in your field. <br />You gain 300 life for each resonator in your field.
Lightning Ray	2	EN2-017	Spell	Chant	[w][1]	2			Light	C	[Break] This card deals 400 damage to target resonator in your opponent's field. <br />This card deals 300 damage to target resonator in your opponent's field.
Stab Each Other	2	EN2-018	Spell	Chant - Standby	[w][w]	2			Light	R	[Trigger] During your end phase: Destroy a number of your opponent's resonators equal to the number of your resonators destroyed this turn.
Allied Force	2	EN2-019	Spell	Chant - Standby	[w][w]	2			Light	C	[Break] Target resonator or J-ruler gains [+0/+1000] until end of turn. <br />[Trigger] Anytime: Target resonator or J-ruler gains [+0/+1000] until end of turn.
Supply Distribution	2	EN2-020	Spell	Chant - Standby	[w][1]	2			Light	C	[Break] You gain [Total cost of target resonator x100] life.<br />[Trigger] When a resonator is summoned: you gain life equal to the ATK of that resonator.
Red Wizard	2	EN2-021,EN2-021-j	Ruler				0//200	0//800	Fire	R	[J-Activate] Pay {R}{R}{R}. <br />[Activate] {Rest}: You can only use this ability during a main phase. Damage dealt by your spells deal 300 more damage until end of turn.//[Activate] Discard a card from your hand: This card deals 200 damage to target resonator. <br />[Activate] {Rest}: You can only use this ability during a main phase. Damage dealt by your spells deal 500 more damage until end of turn.
Kanna, the Oracle of Flame	2	EN2-022	Resonator	Oracle	[r][r][r]	3	400	700	Fire	SR	[Continuous] This card cannot be attacked by your opponent's resonators. <br />[Activate] Pay {R}{R}{R}, {Rest}, return a [Race:Samurai] resonator in your field to its owner's hand: Put a [Race:Deity] resonator from your hand into your field.
Gilgamesh, the Tyrant of Hunt	2	EN2-023	Resonator	Deity	[r][r][4]	6	1000	800	Fire	R	"[Continuous] If a source would deal 500 or less damage to this card, that damage is reduced to 0. <br />[Continuous] If ""Enkidu, the Sworn Friend"" is in your field, this card gains [+200/+200] and [Pierce]."
Enkidu, the Sworn Friend	2	EN2-024	Resonator	Deity	[r][r][2]	4	600	600	Fire	R	"[Continuous] If ""Gilgamesh, the Tyrant of the Hunt"" is in your field, this card gains [+400/+400]. <br />[Enter] If ""Gilgamesh, the Tyrant of the Hunt"" is in your field, destroy target resonator in your opponent's field."
Gugalanna, the Bull of Heaven	2	EN2-025	Resonator	Divine Beast	[r][3]	4	400	400	Fire	R	[Continuous] When this card leaves your field, you may destroy target [Race:Deity] resonator.
Firefloor Drake	2	EN2-026	Resonator	Dragon	[r][2]	3	500	200	Fire	U	[Break] Put this card into your field. This triggers its [Enter] ability. <br />[Flying] <br />[Continuous] At the end of turn, put this card into your hand. <br />[Enter] This card can attack in the turn it's summoned.
Baby Dragon of Asakna	2	EN2-027	Resonator	Dragon	[r][1]	2	200	200	Fire	C	[Break] You may put a [Race:Dragon] resonator from your hand into your field. <br />[Activate] Banish this card: The free cost for [Race:Dragon] resonators in your hand is reduced by {2} until end of turn. 
Exploding Rock Golem	2	EN2-028	Resonator	Golem	[r][3]	4	600	800	Fire	C	[Continuous] When this resonator is destroyed, it deals 600 damage to target resonator or player.
Blasting Beetle	2	EN2-029	Resonator	Insect	[r][3]	4	400	400	Fire	C	[Break] This card deals 500 damage to target resonator. <br />[Activate] Banish this card: Choose an attribute. This card deals 500 damage to each resonator of that attribute.
Blood Moon	2	EN2-030	Addition: Field		[r][r][1]	3			Fire	R	[Continuous] When a resonator is dealt 100 or more damage, destroy it.
Battery Kamikaze	2	EN2-031	Addition: Field		[r][1]	2			Fire	C	[Activate] Banish a resonator in your field and discard a card from your hand: This card deals 200 damage to target resonator or player.
Flaming Art -Purgatory-	2	EN2-032	Addition: Field		[r][r][r]	3			Fire	C	[Continuous] At the end of your turn, this card deals 300 damage to each player. <br />[Continuous] At the end of your recovery phase, banish this card unless you pay {R}.
Pyre Shield	2	EN2-033	Addition: Resonator		[r][1]	2			Fire	C	[Continuous] When the resonator with this is dealt damage, this card deals that much damage to you and your opponent.
Surprise Attack	2	EN2-034	Spell	Chant	[r][1]	2			Fire	C	[Break] Rest target recovered resonator in your opponent's field. Recover target rested resonator in your opponents field. <br />Rest target recovered resonator in your opponent's field. Recover target rested resonator in your opponents field.
Burning Will	2	EN2-035	Spell	Chant - Instant	[r][1]	2			Fire	C	[Break] ATK of target resonator is increased by [the number of cards in your magic stone area x200] until end of turn. <br /> ATK of target resonator is increased by [the number of cards in your magic stone area x100]
Magic Flame	2	EN2-036	Spell	Chant - Instant	[r][1]	2			Fire	C	[Break] This card deals 500 damage to target resonator or player. <br />Discard a card from your hand. This card deals 600 damage to target resonator or player.
Booby Trap	2	EN2-037	Spell	Chant - Standby	[r][r]	2			Fire	U	[Break] Destroy target resonator. <br />[Trigger] When a resonator is summoned, pay {3}: Destroy target resonator that was just summoned. 
Flaming Art -Ash and Smoke-	2	EN2-038	Spell	Chant - Standby	[r][1]	2			Fire	C	[Break] Destroy target addition. <br />[Trigger] Anytime: Destroy target addition.
Flaming Art -Beacon Fire-	2	EN2-039	Spell	Chant - Standby	[r][1]	2			Fire	C	[Break] This card deals 800 damage to target resonator with additions.<br />[Trigger] When a normal spell is played: This card deals 1000 damage to target resonator with additions.
Blue Wizard	2	EN2-040,EN2-040-j	Ruler				0//200	0//800	Water	R	[J-Activate] Pay {U}{U}{U}. <br />[Activate] Pay {U}{U}{U}, discard a card from your hand: Return target resonator to its owner's hand.//[Activate] Pay {U}{1}, discard a card from your hand: Return target resonator to its owner's hand. <br />[Activate] Pay {U}{U}: Draw a card from your main deck. Then discard a card from your hand.
Poseidon, the Great Emperor God of Ocean	2	EN2-041	Resonator	Deity	[u][u][u][4]	7	1500	1500	Water	SR	"[Continuous] At the end of turn, destroy all resonators in your field that are not named ""Poseidon, the Great Emperor God of Oceans"", then discard two card from your hand. <br />[Activate] Banish four cards in your lifebreak area: Return all resonators in your opponent's field to the bottom of his or her main deck. <br/>[Activate] Pay {U}{3}: Rest all resonators that are not named ""Poseidon, the Great Emperor God of Oceans""."
Abzu, the Water God of Truth	2	EN2-042	Resonator	Deity	[u][u]	2	200	200	Water	U	[Break] You may choose a card in your hand and put it face down on the bottom of your lifebreak area. <br />[Flying] <br /> [Activate] Pay {0}: Look at the top card of your main deck. Then put that card on top or bottom of your main deck. This ability can only be activated once per turn. 
Gear Golem, the Magical Soldier	2	EN2-043	Resonator	Golem	[u][u][3]	5	0	500	Water	R	[Continuous] This card's ATK is increased by [Total number of [Spell:Chant-Instant] cards in all graveyards x 200]. <br />[Continuous] When this card is put into the graveyard from your field, return two target resonators in your opponent's field to their owner's hands.
Dagon, the Abomination of Deep Sea	2	EN2-044	Resonator	Merman	[u][u][2]	4	600	600	Water	R	[Continuous] If you have four cards in your lifebreak area, this card gains [+400/+400] and [Pierce].
Tsunami Spirit	2	EN2-045	Resonator	Spirit	[u][3]	4	600	600	Water	C	[Enter] Return target resonator to its owner's hand.
Sea Serpent in Storm	2	EN2-046	Resonator	Dragon	[u][u][1]	3	1000	600	Water	C	[Break] Put this card into your opponent's field. <br />[Activate] {0}: Look at the top card of your magic stone deck. Then put that card on top or bottom of it. This ability can be activated only once per turn. 
Indigo Siren	2	EN2-047	Resonator	Mermaid	[u][2]	3	0	600	Water	C	[Break] Gain control of target resonator in your opponent's field with total cost 3 or more until end of turn. <br />[Activate] {Rest}: Gain control of target resonator in your opponent's field with total cost 3 or less until end of turn.
Maid of Siren	2	EN2-048	Resonator	Mermaid	[u]	1	200	200	Water	C	[Activate] Banish this card: Put this card face down on bottom of its owner's lifebreak area. You cannot use this ability if there are four or more card in the area.
Mirage Arowana	2	EN2-049	Resonator	Demonfish	[u][u]	2	400	400	Water	C	[Continuous] If you have four cards in your lifebreak area, this card cannot be blocked. <br />[Continuous] If your opponent has two or less cards in his or her lifebreak area, this card cannot block.
Predator Anemone	2	EN2-050	Resonator	Demonfish	[u]	1	200	200	Water	C	[Break] Put this card into your field. <br />[Continuous] If you have three or less cards in your lifebreak area, this card gains [+200/+200]. 
Paradise of Deep Sea	2	EN2-051	Addition: Field		[u][u]	2			Water	R	When this card enters your field, destroy all cards in your magic stone area. <br />[Continuous] Each resonators with [Flying] cannot attack. <br />[Continuous] [Race:Mermaid] resonators you control gain [+200/+200].
Water Bubble Robe	2	EN2-052	Addition: Resonator		[u][1]	2			Water	U	[Continuous] Resonator with this cannot be dealt any battle damage. <br />[Continuous] At the beginning of your main phase, banish thi card unless you pay {U}.
Mutating Potion -Regenerate-	2	EN2-053	Addition: Resonator		[u]	1			Water	C	[Activate] Banish this card: Target resonator that had this card on it cannot be dealt battle damage until end of turn.
Aqua Magic -Tempest-	2	EN2-054	Spell	Chant	[u][u][2]	4			Water	R	Return all Resonators on all Fields back to their owner's Hands.
Angelic Voice	2	EN2-055	Spell	Chant	[u][u][1]	3			Water	C	[Break] You may banish a [Race:Mermaid] resonator in your field. If you do, put a [Race:Dragon] resonator from your hand into your field. <br />You may banish two [Race:Mermaid] resonators in your field. If you do, put a [Race:Dragon] resonator from your hand into your field.
Coral Rain	2	EN2-056	Spell	Chant	[u][1]	2			Water	C	[Break] Produce {U} for each [Race:Mermaid] card in your field. <br />Produce {U} for each [Race:Mermaid] card in your field.
Magic Wave	2	EN2-057	Spell	Chant - Instant	[u][1]	2			Water	C	[Break] You may move target [Addition:Resonator] onto another resonator. <br />You may move target [Addition:Resonator] onto another resonator. 
Mind Pollution	2	EN2-058	Spell	Chant - Standby	[u][u]	2			Water	U	[Break] Gain control of target resonator until the end of turn. <br />[Trigger] When an opponent's resonator is summoned, pay {U}{U}{3}: Gain control of target resonator that was just summoned.
Mermaid's Allure	2	EN2-059	Spell	Chant - Standby	[u][u]	2			Water	C	[Trigger] During your opponent's main phase: Each resonator attacks this turn if able.
Arwyn, the Queen of Deep Green	2	EN2-060,EN2-060-j	Ruler				0//200	0//1000	Wind	R	"[J-Activate] Pay {G}{G}{G}. You can activate this if you have three or more resonators in your field. <br />[Activate] {Rest}: Target wind attribute resonator gains [+500/+500] until the end of turn.//[Continuous] Your [Race:Elf] resonators gain [+200/+200]. <br />[Continuous] Your [Race:Elf] resonator gain ""[Activate] {Rest}: Recover target magic stone."". <br />[Enter] You may put any number of [Race:Elf] resonators from your hand into your field."
Green Wizard	2	EN2-061,EN2-061-j	Ruler				0//200	0//600	Wind	R	[J-Activate] Pay {G}{G}{G} <br />[Activate] {Rest}: Destroy target resonator with [Flying].//[Continuous] Resonators in your field can block resonator with [Flying]. <br />[Enter] Choose a spell in your graveyard and put it into your hand. <br />[Activate] Pay {G}{G}, discard a card from you hand: Cancel target spell played by your opponent.
Orion, the Celestial Hegemon	2	EN2-063	Resonator	Deity	[g][g][2]	4	1200	1200	Wind	U	[Continuous] During your opponent's turn, this card gains [-1000/-1000]. <br />[Continuous] At the beginning of your recovery phase, your opponent may pay {4}. If he or she does, this card doesn't recover in this phase. <br />[Continuous] If this card attacks a resonator, your opponent cannot block this card with any resonator other than the attacked one.
Durathror, the Herald of the End	2	EN2-064	Resonator	Divine Beast	[g][g][2]	4	1000	1000	Wind	R	"[Continuous] You cannot summon this card, or put it into any field unless ""Dainn, the Herald of the Beginning"", ""Dvalinn, the Herald of Continuation"" and ""Duneyrr, the Herald of Change"" are in any fields. <br />[Enter] Search for a card from your main deck and put it into your hand. Then shuffle your main deck. <br />[Activate] {Rest}, banish a card with the word ""Yggdrasil"" in its name in your field: Destroy all resonators and J-ruler in your opponent's field."
Hraesvelgr, the Giant Hawk of Jewel Tree	2	EN2-066	Resonator	Divine Beast	[g][g][1]	3	900	800	Wind	U	"[Flying] <br />[Continuous] If there are no cards with the word ""Yggdrasil"" in its name in any field, this card's ATK and DEF becomes [300/300]. <br />[Continuous] During battle phase, this card cannot be dealt any battle damage from dark attribute resonators. At the end of battle phase, destroy target dark attribute resonator that this card battled."
Heithrun, the Goat of Mead	2	EN2-067	Resonator	Divine Beast	[g][g][1]	3	600	600	Wind	U	"[Continuous] If there are no cards with the word ""Yggdrasil"" in its name in any field, this cards ATK and DEF becomes [300/300]. <br />[Enter] You gain 800 life. <br />[Activate] Banish this card: Recover target resonator resonator."
Dainn, the Herald of the Beginning	2	EN2-068	Resonator	Divine Beast	[g][3]	4	400	600	Wind	C	"[Continuous] If there are no cards with the word ""Yggdrasil"" in its name in any field, [Activate] of this card cannot be used. <br />[Enter] Search for a card named ""Dvalinn, the Herald of Continuation"", from your main deck, reveal it and put it into your hand. Then shuffle your main deck. <br />[Activate] Discard a card named ""Dvalinn, the Herald of Continuation"" from your hand: Put a resonator from your opponent's graveyard into your field. It can attack this turn. At the end of your turn, banish it."
Dvalinn, the Herald of Continuation	2	EN2-069	Resonator	Divine Beast	[g][3]	4	600	800	Wind	C	"[Continuous] If there are no cards with the word ""Yggdrasil"" in its name in any field, [Activate] of this card cannot be used. <br />[Enter] Search for a card named ""Duneyrr, the Herald of Change"", from your main deck, reveal it and put it into your hand. Then shuffle your main deck. <br />[Activate] Discard a card named ""Duneyrr, the Herald of Change"" from your hand: Recover this card. This ability can be activated only once per turn."
Duneyrr, the Herald of Change	2	EN2-070	Resonator	Divine Beast	[g][3]	4	600	600	Wind	C	"[Continuous] If there are no cards with the word ""Yggdrasil"" in its name in any field, [Activate] of this card cannot be used. <br />[Enter] Search for a card named ""Durathror, the Herald of the End"", from your main deck, reveal it and put it into your hand. Then shuffle your main deck. <br />[Activate] Discard a card named ""Durathror, the Herald of the End"" from your hand: Discard all cards in your hand. Draw five cards from your main deck."
Ratatoskr, the Messenger of Jewel Tree	2	EN2-072	Resonator	Divine Beast	[g][g]	2	500	500	Wind	U	"[Continuous] If there are no cards with the word ""Yggdrasil"" in its name in any field, this cards ATK and DEF becomes [300/300]. <br />[Enter] Draw a card."
Kukunochi, the Errand of Jewel Tree	2	EN2-073	Resonator	Oracle	[g][g][3]	5	500	1500	Wind	SR	[Continuous] At the beginning of your end phase, draw cards until you have seven in your hand.
Alseid, the Amorous Spirit	2	EN2-075	Resonator	Spirit	[g][g][1]	3	400	800	Wind	C	[Activate] {Rest}: Rest another target resonator in your field. Then rest two target resonators in your opponent's field.
Elvish Warrior	2	EN2-080	Resonator	Elf	[g]	1	200	200	Wind	C	[Continuous] When this card becomes the target of a normal spell, this card gains [+200/+200] until end of turn.
Elvish Weaver	2	EN2-083	Resonator	Elf	[g][1]	2	200	200	Wind	C	[Break] You may draw a card from your main deck. <br />[Continuous] Whenever your opponent summons a resonator with total cost 4 or more, you may draw a card from your main deck. 
Woodguardner	2	EN2-086	Resonator	Treeman	[g]	1	0	700	Wind	C	[Continuous] This card cannot attack.
Sanctuary of Yggdrasil	2	EN2-088	Addition: Field		[g][g][g][g][g]	5			Wind	U	"[Break] Put this card into your hand. <br />When this card enters your field, search for cards named ""Dainn, the Herald of Beginning"", ""Dvalinn, the Herald of Continuation"" and ""Duneyrr, the Herald of Change"", from your main deck and put them into your field. Then shuffle your main deck. You cannot activate this ability if you cannot search for all three. <br />[Continuous] Your [Race:Treeman] and [Race:Divine Tree] resonators gain [+200/+200]. <br />[Continuous] When this card leaves your field, put five cards from your main deck into your graveyard."
Sealed Vault	2	EN2-089	Addition: Field		[g][g]	2			Wind	U	[Continuous] All rulers lose all abilities other than [J-Activate].
Wise Art of Summoning	2	EN2-096	Spell	Chant	[g][g]	2			Wind	U	[Break] Search for a resonator with total cost 3 or less from your main deck and put it into your field. Then shuffle your main deck. <br />Destroy target resonator in your field. Search for a resonator with the same name as the destroyed one from your main deck and put it into your field. Then shuffle your main deck. This triggers [Enter] ability of that card.
Whisper of Wind	2	EN2-097	Spell	Chant	[g][g][1]	3			Wind	U	[Break] Search for a [Spell:Chant] or [Spell:Chant-Instant] from your main deck, reveal it and put it into your hand. Then shuffle your main deck. <br />Search for a [Spell:Chant] or [Spell:Chant-Instant] from your main deck, reveal it and put it into your hand. Then shuffle your main deck.
Shortage of Magic Power	2	EN2-100	Spell	Chant - Instant	[g][g][g]	3			Wind	U	[Break] Target player draws a card from his or her main deck. <br />Cancel target spell, if all of your opponent's card in his or her magic stone area are rested. 
Magic Storm	2	EN2-101	Spell	Chant - Instant	[g][g][2]	4			Wind	U	[Break] Destroy target card in your opponent's chant-standby area or destroy target addition. <br />Cancel target spell.
Wind Magic Circle -Aura-	2	EN2-105	Spell	Chant - Standby	[g][1]	2			Wind	C	[Break] ATK and DEF of target resonator are increased by [the number of cards in your magic stone area x 100] until end of turn.<br />[Trigger] Anytime: ATK and DEF of target resonator are increased by [the number of cards in your magic stone area x 100] until end of turn.
Blowing Wind	2	EN2-106	Spell	Chant - Instant	[g]	1			Wind	C	[Break] Rest all recovered cards in your magic stone area. This card deals [the number of cards rested this way x 100] damage to each resonator with [Flying]. <br />Rest all recovered cards in your magic stone area. This card deals [the number of cards rested this way x 100] damage to each resonator with [Flying].
Garmheld, the King of the Dead	2	EN2-107,EN2-107-j	Ruler				0//800	0//100	Darkness	R	[J-Activate] Pay 1000 life. <br />[Activate] Pay 400 life: Produce {B}. This ability can be activated only once per turn.//[Continuous] This card gains [+0/+100] for each card in your graveyard. <br />[Enter] Look at the top ten cards from your main deck. Put one of them into your hand, return the rest to your main deck and shuffle it. <br />[Activate] Remove a resonator in your graveyard from the game: This card deals 100 damage to each resonator.
Sariel, the Lord of the End	2	EN2-108,EN2-108-j	Ruler				0//700	0//700	Darkness	R	[J-Activate] Pay {5}, discard three cards from your hand. <br />[Activate] Pay {4}: Put a resonator from your graveyard into your field. It can attack this turn. At end of turn, remove it from the game if it's in a field or a graveyard.//[Flying] <br />[Enter] Destroy all resonators. Then put three resonators in your graveyard into your field. If you cannot choose three, you cannot put them. <br />[Activate] Pay {B}{2}, banish two resonators in your field: Put a resonator in your graveyard into your field. It can attack this turn.
Enforcer of Grudge	2	EN2-109,EN2-109-j	Ruler				0//1000	0//1000	Darkness	R	[J-Activate] Pay {0}: You can activate this if you have four or more resonators in your field. <br />[Activate] {B},{Rest}: Target player chooses a card in his or her hand at random and discards it.//[Pierce] <br />[First Strike] <br />[Enter] Destroy target two resonators.
Morrigan, the Goddess of Tragic Love	2	EN2-110	Resonator	Deity	[b][b][3]	5	600	600	Darkness	SR	[Break] Destroy target resonator in your field and discard a card in your hand. <br />[Continuous] When this card is put into a graveyard from your field, destroy target resonator. <br />[Enter] Destroy target resonator in your field and put a resonator from your graveyard into your field. <br />[Activate] Banish a card in your lifebreak area: Target resonator gains [-300/-300] until end of turn.
Demon Lady of Grudge	2	EN2-116	Resonator	Demon	[b][2]	3	800	800	Darkness	U	[Continuous] This card cannot attack unless you banish target resonator in your field.
Soul Eater	2	EN2-117	Resonator	Nightmare	[b][b][b]	3	0	100	Darkness	U	[Continuous] This card's ATK is increased by [Total number of cards in your graveyard x 100].
Carrion Devourer	2	EN2-118	Resonator	Nightmare	[b][2]	3	400	200	Darkness	C	[Break] Choose any number of resonators in your graveyard and remove them from the game. Until end of turn, target resonator gains [+100/+100] for each resonator removed this way. <br />[Activate] Remove two resonators in your graveyard from the game: This card gains [+200/+200] until end of turn.
Ancient Black Knight	2	EN2-122	Resonator	Black Ones	[b][b]	2	400	400	Darkness	U	[Target Attack] <br />[Activate] Remove ten resonators in your graveyard from the game: This card's ATK and DEF becomes [1500/1500] until end of turn.
Nether Horseman	2	EN2-124	Resonator	Black Ones	[b][2]	3	400	200	Darkness	C	[Activate] Remove a dark attribute spell card in your graveyard from the game: Put this card from your graveyard into your field rested. This ability can be activated only once per turn.
Reanimated Knight	2	EN2-125	Resonator	Knight	[b][1]	2	300	300	Darkness	C	"[Activate] Banish this card: Put a resonator with total cost 3 or less other than ""Reanimated Knight"" from your graveyard into your field."
Butz, the Ebony Knight	2	EN2-126	Resonator	Knight	[b]	1	300	200	Darkness	U	[Break] Put this card into your field.<br />[Continuous] At the end of your turn, you may put the top card from your main deck into your graveyard.
Lifesucker	2	EN2-128	Resonator	Vampire	[b]	1	500	500	Darkness	C	[Continuous] At the beginning of your recovery phase, you lose 400 life.
